date,trade_number_in_day,profit,points,direction,entry_hour,entry_weekday,entry_adx,entry_slope,entry_ma_distance,entry_vol_exp,entry_bb_width
2024-02-20,2,-240.0,-48.0,1,11,1,43.11386875224631,41.8332502010162,476.00033252933645,0.9077946768060836,0.0066895681731756395
2024-02-21,1,-1795.0,-359.0,1,11,2,23.996836302522876,20.88830826114281,57.8277193364338,0.7982151710461082,0.0014964116415186288
2024-02-21,2,-90.0,-18.0,-1,15,2,22.71080091359027,2.299619111639913,144.29371454176726,0.7380073800738007,0.0023678019078036887
2024-02-22,1,-900.0,-180.0,1,10,3,36.27530045702411,-15.644671424903208,177.86439998541027,0.6799057556378323,0.004970068785793213
2024-02-22,2,-390.0,-78.0,-1,11,3,17.35947873437154,-32.58458802656969,59.3283145603491,1.0981382139476177,0.0011633724508549705
2024-02-23,1,775.0,155.0,-1,11,4,32.72466272238824,-55.13203184833401,374.7575868924032,1.2435233160621761,0.004598245587141535
2024-02-23,2,0.0,0.0,1,15,4,18.3161986365111,23.774557285767514,155.5208184760122,0.7368421052631579,0.0023125361834784915
2024-02-26,1,-2750.0,-550.0,-1,10,0,26.00507099011672,-15.78671704774024,149.85313180906815,0.84375,0.002341679598796451
2024-02-26,2,300.0,60.0,1,11,0,26.04614218450454,-23.500501489732414,204.66867262567393,0.9279204639602319,0.004616149555449885
2024-02-27,0,6010.0,1202.0,1,10,1,40.05209836103214,15.408764764491934,410.6030361801677,0.7774390243902439,0.006887490224012897
2024-02-29,1,3200.0,640.0,-1,10,3,20.641627293073178,-47.54472471823101,249.53538684127852,1.4280969777482564,0.003092436731825487
2024-02-29,2,-90.0,-18.0,1,15,3,10.963042962037884,-18.216773539839778,16.867094159359112,0.9144792548687554,0.0009083355674067211
2024-03-01,1,810.0,162.0,1,10,4,26.974974458971648,-110.15048422725522,66.60193690907909,2.7524752475247523,0.003853813150168231
2024-03-01,2,-25.0,-5.0,-1,10,4,20.25929029916202,-21.16982435013051,134.46355974228936,0.6963788300835655,0.003137895589703684
2024-03-04,1,-810.0,-162.0,-1,11,0,20.515519722999365,-84.48460327717476,262.87111070082756,1.1195001301744336,0.0032914953070566112
2024-03-04,2,-240.0,-48.0,1,13,0,28.32250228615938,2.8127801853988785,182.7964983060665,1.0223642172523961,0.0025472486248935525
2024-03-05,1,-1345.0,-269.0,1,12,1,21.030789881775178,14.81079805700574,166.04252205777448,0.5798435342843994,0.0027841716747718883
2024-03-05,2,60.0,12.0,-1,14,1,20.280024361501244,14.734573921945412,126.22400997343357,0.5887445887445888,0.002640336737554725
2024-03-06,1,-715.0,-143.0,1,10,2,31.877464007927948,-16.543446515104733,184.45950034615817,1.1228070175438596,0.004658116245914739
2024-03-06,2,-385.0,-77.0,-1,13,2,15.98114675296195,-30.544328809250146,137.53697047720198,0.771513353115727,0.002325887055970617
2024-03-07,1,-750.0,-150.0,-1,11,3,32.39088844294318,-92.44760618748842,315.73338477377547,1.0687022900763359,0.004110892543312803
2024-03-07,2,-450.0,-90.0,1,16,3,16.79503026894196,-8.896902302076342,70.15903777978383,1.005118659841787,0.0014527910610402362
2024-03-08,1,-3320.0,-664.0,-1,10,4,52.14453743195521,-55.80710770608857,1008.2953786993749,1.0694392870404752,0.01821460870042172
2024-03-08,2,-870.0,-174.0,1,11,4,27.573190118873743,28.863832938397536,195.8780015798111,1.2169919632606199,0.004277000632205342
2024-03-11,1,-2960.0,-592.0,-1,10,0,46.16496839864791,-13.706902446516324,427.029533071036,0.8762031198141387,0.007565740188242051
2024-03-11,2,2305.0,461.0,1,11,0,21.385052238473154,52.54565361249843,178.43643316908856,1.4715261958997723,0.0023381195988183942
2024-03-12,1,-1465.0,-293.0,1,10,1,36.32224245729099,-35.77500252320897,427.67143866425613,1.7534009933059813,0.007510639327004446
2024-03-12,2,-480.0,-96.0,-1,11,1,15.187422969340595,-0.8594477139704395,216.41935200116131,0.36388140161725063,0.003518244322788457
2024-03-13,1,-3705.0,-741.0,-1,10,2,24.559019111987613,-3.16064854292199,134.0240724949399,1.256317689530686,0.002600975223181153
2024-03-13,2,330.0,66.0,1,11,2,29.630728194162213,-5.555779892660212,339.03264338022564,0.8153371529308066,0.0050933602156718796
2024-03-14,1,180.0,36.0,-1,13,3,21.511807846818748,-1.1721409190504346,84.12096013323753,0.689902982393101,0.0014052009777927527
2024-03-14,0,840.0,168.0,1,15,3,23.59782919903794,7.727160880633164,175.80564219178632,0.8092026973423245,0.0029240493602251355
2024-03-18,1,-2695.0,-539.0,1,10,0,30.922197041752415,9.909684872662183,225.26602241417277,0.8188405797101449,0.004944357560156153
2024-03-18,2,1910.0,382.0,-1,11,0,27.32217199528594,-27.302599123620894,257.4086511244823,0.6317300789662599,0.004380483918240581
2024-03-19,1,1375.0,275.0,1,10,1,28.1583177587117,6.910292751475936,256.5969242322026,1.1234443323242516,0.0036430953294644677
2024-03-19,2,-240.0,-48.0,-1,13,1,20.780568410486385,0.3992042476311326,2.501578895316925,0.9879963065558633,0.0006013497230190876
2024-03-20,1,-475.0,-95.0,1,10,2,20.275384808268985,-0.3660762876679655,49.416686103038955,1.7904656319290464,0.0017908927208221417
2024-03-20,2,-1850.0,-370.0,-1,12,2,12.402461624548348,21.41085311069037,86.9291267285007,0.5937136204889406,0.0022296914004180752
2024-03-20,3,150.0,30.0,1,13,2,21.030189960473244,28.372248437575763,170.8443395831273,0.7172799254774104,0.002167131427054613
2024-03-21,0,6815.0,1363.0,-1,10,3,26.3365821198149,-40.44280440520379,76.13354428394814,2.1264367816091956,0.00229764353649045
2024-03-25,1,-1045.0,-209.0,-1,10,0,29.077862627351077,-7.21208458734327,0.8183283171674702,1.596130592503023,0.0012747011390921556
2024-03-25,2,180.0,36.0,1,11,0,20.30701506196398,14.113625979312928,71.06930560662295,0.92173017507724,0.0016020675909195175
2024-03-26,1,-2990.0,-598.0,-1,10,1,36.11238788873722,19.2227617148601,168.55771352609736,1.6666666666666667,0.0030164769060145695
2024-03-26,2,-775.0,-155.0,1,11,1,32.37478470279184,36.16400951560354,284.0106286042428,1.009771986970684,0.00363786641013265
2024-03-27,0,2750.0,550.0,1,12,2,24.07737807386199,28.270621200092137,190.1556104378251,0.5272051368705645,0.003164206647827071
2024-04-01,1,-5410.0,-1082.0,1,10,0,26.851508577849845,-1.933706679410534,66.73482671772945,1.526466967583094,0.0010732555771024626
2024-04-01,2,-115.0,-23.0,-1,11,0,36.6046560377324,-88.81794161285507,423.3949002152076,1.0775231594344223,0.005587913315591694
2024-04-02,1,-2540.0,-508.0,-1,12,1,20.638788363774555,-47.55181472696131,147.50702680641552,0.8514438821077702,0.0022810239695756646
2024-04-02,2,300.0,60.0,1,14,1,18.63641049251733,47.24194822181016,150.4131594937935,1.78201409034397,0.0019985055237876606
2024-04-03,1,5350.0,1070.0,-1,10,2,27.38285014757683,40.76981812770828,69.07927251086221,2.123591669511779,0.002351624001357578
2024-04-03,2,-420.0,-84.0,1,13,2,13.173892185126185,-1.4096931950189173,80.8292489706073,0.6987863184994484,0.0017435387108476255
2024-04-04,1,6100.0,1220.0,1,10,3,33.24496261007432,77.97973656727117,196.79533944520517,2.164869029275809,0.0027053752030426113
2024-04-04,2,625.0,125.0,-1,14,3,24.54674939535732,-57.96719817671692,264.8454930073931,0.9244992295839752,0.0032895497694858354
2024-04-05,1,-180.0,-36.0,-1,10,4,29.700336543823227,-38.349662875174545,364.83944373740815,0.8900364520048603,0.004867253952162104
2024-04-05,2,-2270.0,-454.0,1,13,4,19.981197577453507,12.776529653376201,170.9415004341572,0.6785063752276868,0.002711176625645072
2024-04-05,3,-265.0,-53.0,-1,15,4,22.161111977022667,-15.040886613336625,239.36026307041175,1.30568786775007,0.0042677538171276876
2024-04-08,0,8075.0,1615.0,1,10,0,32.16021589609469,69.35205420173588,214.8298784312501,0.9508716323296355,0.0030135893078554496
2024-04-10,1,7295.0,1459.0,-1,10,2,28.989624161891697,-27.458072938665282,705.1677082453389,1.0262772076237734,0.011517786864796497
2024-04-10,2,955.0,191.0,1,18,2,11.634959848611306,-7.008159289747709,7.270732397184474,0.7795823665893271,0.0008370623740746158
2024-04-11,1,-2780.0,-556.0,-1,11,3,21.555321982708506,-71.12024961595307,261.94757296468015,1.0006441915396178,0.003128493209277421
2024-04-11,2,330.0,66.0,1,15,3,21.366914160662468,13.292858122469625,209.6857103673392,0.7019704433497537,0.0028616348958846937
2024-04-12,1,5770.0,1154.0,-1,12,4,20.350326025104316,-35.9909855609003,274.79796251817606,0.9482245586193215,0.0035237626212708483
2024-04-12,2,180.0,36.0,1,17,4,20.351863787759395,3.4527754159644246,66.95080309806508,0.3801980198019802,0.0013564067819154088
2024-04-15,1,1255.0,251.0,-1,14,0,20.386637047249234,-67.61851327939075,145.38308973948006,2.2774708410067523,0.0024970777775952017
2024-04-15,2,925.0,185.0,1,16,0,13.581093089858804,-5.00523365981644,44.92569654411636,1.1745424747336792,0.0014849441732151941
2024-04-16,1,-2695.0,-539.0,-1,10,1,39.284496107362294,-39.41673989169067,411.9520880522614,0.8952023586169927,0.006936087126987707
2024-04-16,2,-270.0,-54.0,1,12,1,20.53163061566682,37.52319466960034,240.28817370260367,0.5637689729942834,0.0039136271684505845
2024-04-17,1,-4925.0,-985.0,1,10,2,34.6430932463505,19.37153302860679,288.37101074279053,1.036244222816833,0.0059473082230962
2024-04-17,2,-150.0,-30.0,-1,11,2,29.781150975258903,-66.03416724081035,355.10142627486493,0.6321243523316062,0.005266564964847784
2024-04-18,1,-2240.0,-448.0,1,10,3,27.609521428679678,10.227657963056117,243.61317767156288,1.507574374885928,0.0050393105962547695
2024-04-18,2,470.0,94.0,-1,12,3,25.017178080634036,-43.43334363945178,379.171387346898,0.6790548290892406,0.005152933139435021
